Feature,Importance
FP_1028,0.0658931231656906
MolWt,0.059379366511126755
LogP,0.04963713549011716
TPSA,0.038007823426135706
FP_718,0.03008098411758062
FP_2039,0.026218906983966086
FP_1264,0.02358919327376727
RotBonds,0.01989204128652142
RingCount,0.01853798315393993
FP_734,0.01759301910758897
HBA,0.011530773145113398
FP_1249,0.010905109987116836
FP_1508,0.01032593509266364
FP_575,0.009830168051095245
FP_2009,0.009356098167880795
FP_1985,0.0083565460767622
FP_1086,0.008004047441989657
FP_1712,0.007481522129959122
FP_1855,0.006500173987392378
FP_1867,0.006129414689564583
FP_1357,0.005791180272485296
HBD,0.005723455311761134
FP_713,0.005565496269821928
FP_1088,0.005467419004428859
FP_942,0.005434097327093008
FP_1970,0.005418450444628661
FP_1243,0.005251103175403842
FP_322,0.004746678551642745
FP_493,0.004667351461794828
FP_1422,0.004481514053253893
FP_1097,0.004329793489686118
FP_1998,0.004170338766928921
FP_1143,0.004153364027548943
FP_1758,0.004147723902188308
FP_1265,0.004101446519190081
FP_650,0.00389916073581299
FP_653,0.003825266980340593
FP_1486,0.0037421897073024154
FP_102,0.0036681304319434328
FP_1006,0.0036469125602167376
FP_827,0.0036222837530679786
FP_1325,0.0036219427609314537
FP_283,0.0036162422751833765
FP_1697,0.003496509729477185
FP_1199,0.0034701543336035055
FP_1145,0.0033766566697379223
FP_1743,0.003282399422466921
FP_1964,0.0030722206685018026
FP_807,0.00305903141375516
FP_1988,0.0029911995611296887
FP_207,0.0029553526878153924
FP_446,0.0028882672987131782
FP_1019,0.0028596030227846297
FP_1,0.0028096190681727072
FP_959,0.0027749072359293165
FP_389,0.002697456901201506
FP_685,0.0026949831590115975
FP_310,0.002688973183935978
FP_1518,0.0026143682215532087
FP_1385,0.0025560552540881977
FP_1208,0.0025249674768241994
FP_1452,0.0024253787869471187
FP_1722,0.0024033762681576268
FP_1823,0.0023726658228140395
FP_896,0.0023554498108848223
FP_1057,0.0023523070862346415
FP_875,0.00231825790409239
FP_1754,0.002256273634135977
FP_1825,0.002228035484535118
FP_378,0.002199786618987118
FP_1771,0.002152284310621852
FP_656,0.002151627944217942
FP_1573,0.00215079793198776
FP_151,0.0020827851690546142
FP_1910,0.0020360307725694926
FP_1308,0.0020118180553681648
FP_314,0.0019597475295829443
FP_1501,0.0019430780026882149
FP_392,0.001936689168201476
FP_420,0.0019238286949651536
FP_1589,0.0019091058268108667
FP_689,0.0018563881029624422
FP_893,0.0018512981433428859
FP_1888,0.0018307004127117007
FP_1482,0.0018263785260511614
FP_407,0.0017783726423046206
FP_667,0.0017543084696860993
FP_114,0.001747202188513943
FP_784,0.0016945948866675985
FP_1327,0.0016898261092150157
FP_1765,0.0016666932120044482
FP_1917,0.0016523136481442823
FP_1480,0.0016420342905407055
FP_1683,0.0016315689917270166
FP_1152,0.0016290858265611712
FP_762,0.0016289286779561393
FP_1745,0.0016287968364890127
FP_1160,0.0016280648217239266
FP_1993,0.0016254872011560015
FP_1292,0.0016011589597239226
FP_591,0.0015430183362263234
FP_1939,0.0015089224462162933
FP_74,0.0015054041259740271
FP_674,0.001488857029915231
FP_1045,0.0014692572241438201
FP_593,0.001466556059401657
FP_1114,0.0014157827831136113
FP_1921,0.0014080689636848038
FP_991,0.0013992869856307448
FP_233,0.001392882660531009
FP_1911,0.0013903161048974438
FP_119,0.001389579849833056
FP_1405,0.0013661564541090595
FP_44,0.0013660044033816363
FP_13,0.0013555392544534757
FP_1875,0.001341464522285247
FP_2,0.0013186032142040525
FP_1079,0.0013183757055995732
