Threshold,Model,Inactive_n,Active_n,AUC_mean,AUC_sd,Precision_mean,Precision_sd,Recall_mean,Recall_sd,F1_mean,F1_sd
Ki < 1000 nM,Logistic regression,612,6919,0.9204416306582658,0.02850623126709413,0.9758153624415188,0.0050494476833948445,0.9556297733869821,0.007673381740185745,0.9655984993371005,0.004994134994378431
Ki < 1000 nM,Random forest,612,6919,0.9583437341202103,0.014669602218724835,0.9698969806016166,0.0060129318585615005,0.9810668546046191,0.004109285559179316,0.9754323590607452,0.0030924012002382342
Ki < 1000 nM,Gradient boosting,612,6919,0.9155385699205623,0.02506661305969986,0.9482928544754332,0.005623818810091047,0.9958086211656058,0.0026996789924959032,0.97145584995028,0.002564198017987355
Ki < 100 nM,Logistic regression,1819,5712,0.8541175676687139,0.015849436770169537,0.9137683682308788,0.0081254360883263,0.8751748251748251,0.009911051368115596,0.8940245036398091,0.007464742450798802
Ki < 100 nM,Random forest,1819,5712,0.9290767307611466,0.007768908048119267,0.9098670157115905,0.007879999656534884,0.9375026024763328,0.008766415990940343,0.9234349504608366,0.0054582835257054665
Ki < 100 nM,Gradient boosting,1819,5712,0.8662674744072538,0.010339529278469407,0.8365252365614821,0.002744490765674238,0.9737410138023099,0.006450918305724097,0.8999210458633836,0.003274532273718851
