PC1,PC2,pKi
-3.0535574391969416,5.937723362989012,8.045757490560675
-4.162893229843599,6.608934855139281,7.045757490560675
-2.608758201946265,8.821268198759471,7.853871964321762
-3.7681391215573723,8.856110891247884,6.301029995663981
-3.5402116685851084,6.686360120468917,8.301029995663981
-4.855608549717073,5.345879884876076,6.431798275933005
-2.723128889336694,6.7593946525229365,7.494850021680094
-3.623188916221485,6.0380835689715004,7.744727494896693
-5.03291444459342,9.311236626760921,7.568636235841013
-4.506308691330395,7.883931265694995,6.236572006437063
-4.506435515768189,7.8841723983753536,6.199998172182031
-5.177981458483912,10.900620403899325,6.844663962534939
-4.708496324995863,6.789497227503826,7.431798275933005
-4.2884493361983385,6.987813992539766,7.795880017344075
-4.211144880869708,7.1444339924761815,6.366531544420414
-5.045865271777747,10.704713414828037,6.920818753952375
-5.04587993025378,10.704741285147648,6.900008766455316
-4.629891584135451,8.282145071559118,6.638272163982407
-4.62994431980729,8.282245338464469,6.599997654072044
-4.215847367253203,9.469281426696723,6.301029995663981
-4.231849205167664,7.7027466250293255,6.301029995663981
-4.501808042374874,6.797261123133484,8.154901959985743
-4.529292521261658,6.657613110369836,6.301029995663981
-3.322363858987191,6.573148894126537,8.397940008672037
-3.2230255545046385,6.785588116884778,8.522878745280337
-4.200273277635064,10.118208918350948,7.958607314841775
-4.200270788929453,10.118204186547956,8.0
-4.7858164773268745,6.880574363455664,7.602059991327962
-5.1553102934932875,10.05799018857567,6.301029995663981
-4.3420383842743,5.913198330916805,8.301029995663981
-4.234048626190441,9.796687102515731,7.698970004336019
-4.234048501755163,9.796686865925585,7.700057099977233
-2.54477232348835,6.362579705670679,9.309803919971486
-4.310834532221993,6.862307996943925,6.301029995663981
-4.416672039080148,10.199903173929078,6.735182176990463
-4.98362396613633,10.951324801373563,7.795880017344075
-4.983623592830487,10.951324091603116,7.79997073344623
-4.283960232776957,6.684049896791103,8.221848749616356
-3.135958682775951,6.642449123945496,7.657577319177793
-3.724702635474139,8.740632527441862,6.301029995663981
-4.783004080821108,8.573223226640819,6.698970004336019
-4.783002911129471,8.573221002693415,6.699991797446187
-4.726634824472631,8.25413602237501,6.721246399047171
-4.726658541837077,8.254181116457502,6.699991797446187
-5.183421575968469,10.07289080049915,7.42021640338319
-5.183426080525618,10.072899365062561,7.400007822415902
-4.299815428740465,7.600608853591874,6.537602002101044
-4.299880707488565,7.600732968784292,6.499996931948306
-4.7482800045519165,10.048659480806164,6.3979400086720375
-4.567961201612133,6.767348941704315,7.67778070526608
-4.338024187478665,6.7970895391043475,6.568636235841013
-4.581709895696928,6.994770612380922,7.795880017344075
-4.0379818994201875,7.956398556445699,6.17134010346468
-3.8852135621277415,6.256999355876516,8.154901959985743
