,Ki (nM),pKi
count,7531.0,7531.0
mean,596.3647369459568,7.741458263609413
std,3647.506280495678,1.1174099790434067
min,0.02,4.0
25%,2.8819999999999997,7.040958607678906
50%,15.0,7.823908740944319
75%,91.0,8.540306128096688
max,100000.0,10.69897000433602
