rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_min_samples_leaf
1,0.5782683443220354,0.006780714537453655,300,,1
2,0.5725562876634095,0.009846967279226362,100,,1
3,0.5706521982748477,0.005968223587874189,300,20,1
4,0.5674463290136711,0.009183008922479415,100,20,1
5,0.5652602805863296,0.007791151540097802,300,,3
6,0.5608621923357885,0.007804777461418137,100,,3
7,0.5577483338705113,0.006894573747650101,300,20,3
8,0.5535746400801348,0.00775737159085024,100,20,3
