tSNE1,tSNE2,pKi
-39.324734,12.30166,8.045757490560675
-36.287846,8.295665,7.045757490560675
-42.85644,23.48351,7.853871964321762
-61.229023,47.526848,6.301029995663981
-73.888405,8.846534,8.301029995663981
-36.877407,12.000616,6.431798275933005
-39.661644,13.428163,7.494850021680094
-40.4991,11.116176,7.744727494896693
-65.600105,34.09384,7.568636235841013
-42.085182,31.302605,6.236572006437063
-42.085182,31.302605,6.199998172182031
-58.416016,44.135864,6.844663962534939
-74.299675,9.530375,7.431798275933005
-42.998993,11.654965,7.795880017344075
-36.76647,14.267456,6.366531544420414
-36.779778,42.839535,6.920818753952375
-36.779778,42.839535,6.900008766455316
-34.406883,72.11327,6.638272163982407
-34.406883,72.11327,6.599997654072044
-53.25821,38.942398,6.301029995663981
-36.671284,43.149483,6.301029995663981
-74.24766,9.377461,8.154901959985743
-60.389843,48.99092,6.301029995663981
-37.725243,11.475912,8.397940008672037
-39.720554,12.240495,8.522878745280337
-61.91487,43.59947,7.958607314841775
-61.91487,43.59947,8.0
-74.33689,9.573228,7.602059991327962
-56.918686,19.901928,6.301029995663981
-40.62914,11.031089,8.301029995663981
-63.912315,45.70594,7.698970004336019
-63.912315,45.70594,7.700057099977233
-39.381496,50.235035,9.309803919971486
-31.045534,22.172853,6.301029995663981
-53.66826,40.394913,6.735182176990463
-55.478638,38.718292,7.795880017344075
-55.478638,38.718292,7.79997073344623
-40.43965,11.101379,8.221848749616356
-42.72009,11.75064,7.657577319177793
-61.296745,47.500748,6.301029995663981
-37.974823,35.534294,6.698970004336019
-37.974823,35.534294,6.699991797446187
-35.275646,46.37331,6.721246399047171
-35.275646,46.37331,6.699991797446187
-45.84167,32.198856,7.42021640338319
-45.84167,32.198856,7.400007822415902
-44.234585,29.048882,6.537602002101044
-44.234585,29.048882,6.499996931948306
-55.586338,40.389233,6.3979400086720375
-39.78461,12.196845,7.67778070526608
-39.809975,10.369405,6.568636235841013
-33.211998,11.070785,7.795880017344075
-5.4159017,86.968025,6.17134010346468
-40.60927,12.215856,8.154901959985743
-55.733356,38.9782,7.853871964321762
-55.733356,38.9782,7.899974269892137
-67.38539,49.783936,6.777283528852417
-37.643135,11.191713,6.920818753952375
-60.909126,49.68357,6.301029995663981
-60.909126,49.68357,6.0
-55.22488,39.222958,7.481486060122112
-55.221138,39.218655,7.50003813440381
-74.61387,9.837452,7.744727494896693
-54.728115,39.497063,7.251811972993799
-63.89088,45.66728,8.154901959985743
-63.89088,45.66728,8.199970640755867
-43.91637,107.81737,8.397940008672037
-78.575645,21.514128,7.387216143280264
-78.575645,21.514128,7.400007822415902
-78.575645,21.514128,7.50003813440381
-46.49899,26.634686,7.602059991327962
-46.49899,26.634686,7.599980364934842
-46.49899,26.634686,7.599980364934842
-68.56228,25.859407,7.698970004336019
-68.56228,25.859407,7.700057099977233
-68.56228,25.859407,8.100015437450608
-30.255333,47.868786,6.399996913372259
-30.255333,47.868786,6.199998172182031
-59.32768,54.7481,7.602059991327962
-59.32768,54.7481,7.599980364934842
-59.32768,54.7481,8.400007822415901
-43.91637,107.81737,8.400007822415901
-43.91637,107.81737,8.700057099977233
-68.20634,10.166689,6.634512015109101
-68.20634,10.166689,6.599997654072044
-68.20634,10.166689,6.699991797446187
-72.58071,18.93637,7.958607314841775
-72.58071,18.93637,8.0
-72.58071,18.93637,8.100015437450608
-67.79946,18.410038,7.795880017344075
-67.79946,18.410038,7.79997073344623
-67.79946,18.410038,8.100015437450608
-65.2416,22.855137,7.769551078621726
-65.2416,22.855137,7.79997073344623
-65.2416,22.855137,8.599980364934842
-76.268105,21.940025,7.327902142064283
-76.268105,21.940025,7.299988937677887
-76.268105,21.940025,7.100015437450609
-33.043507,37.417458,7.4089353929735005
-33.043507,37.417458,7.400007822415902
-33.043507,37.417458,7.700057099977233
-50.64018,60.240856,7.522878745280337
-50.64018,60.240856,7.50003813440381
-50.64018,60.240856,8.299988937677888
-81.91989,25.146608,7.853871964321762
-81.91989,25.146608,7.899974269892137
-81.91989,25.146608,7.899974269892137
-70.30032,22.348526,7.920818753952375
-70.30032,22.348526,7.899974269892137
-70.30032,22.348526,7.899974269892137
-73.391235,26.895754,8.301029995663981
-73.391235,26.895754,8.299988937677888
-73.391235,26.895754,9.0
-36.135994,38.58753,6.835647144215563
-36.135994,38.58753,6.799998134593398
-36.135994,38.58753,7.50003813440381
-55.069115,13.311978,7.199970640755866
-55.069115,13.311978,7.400007822415902
-77.89923,29.138887,8.154901959985743
-77.89923,29.138887,8.199970640755867
-77.89923,29.138887,8.899974269892137
-73.23762,23.942348,7.455931955649724
-73.23762,23.942348,7.50003813440381
-73.23762,23.942348,8.100015437450608
-74.42988,31.148233,7.853871964321762
-74.42973,31.147963,7.899974269892137
-74.42988,31.148233,8.899974269892137
-72.25891,23.19508,7.657577319177793
-72.25891,23.19508,7.700057099977233
-72.25891,23.19508,8.500038134403809
-112.302246,22.756044,9.05551732784983
-7.959819,-17.136147,8.1249387366083
-43.159798,26.48159,6.935542010773082
-40.778538,21.77128,7.259637310505756
-66.80844,4.414721,5.860120913598763
-24.153887,40.105476,7.645891560852599
-30.083078,10.0404215,7.42021640338319
-66.80844,4.414721,8.366531544420413
-61.984844,68.40442,6.301029995663981
-43.234848,37.37467,7.698970004336019
-29.939394,18.948822,6.910094888560602
-66.21674,85.02694,9.221848749616356
-8.543005,66.49075,8.638272163982407
48.626564,6.4482813,9.500038134403807
-30.084389,10.039679,7.638272163982407
-43.91637,107.81737,8.397940008672037
-55.89115,-9.936461,8.0268721464003
-43.91637,107.81737,8.397940008672037
-44.694298,23.938614,6.301029995663981
-33.183838,7.263807,7.657577319177793
-36.559147,21.338993,7.721246399047171
10.598694,-12.619303,9.4000078224159
-26.241232,25.860096,6.853871964321762
-41.849735,24.378185,7.443697499232712
-24.153887,40.105476,7.189095719331299
-22.539663,36.9093,8.320572103387882
-40.68107,24.21962,7.920818753952375
-42.402145,26.673985,7.853871964321762
-53.092922,1.6145864,7.5376020021010435
-24.153887,40.105476,7.995678626217358
-32.607407,7.193774,7.744727494896693
-67.37859,67.40544,7.292429823902063
-36.53604,7.6115766,7.42021640338319
7.0506845,-3.7254465,6.585026652029182
-32.49304,7.064056,8.075720713938118
-22.539663,36.9093,8.882728704344236
-32.810017,-31.002539,7.431798275933005
-60.537247,69.0897,6.301029995663981
-66.80844,4.414721,7.374687549038326
-34.396313,25.55641,6.966576244513051
10.598329,-12.619208,8.79997073344623
-66.80844,4.414721,7.040005161671584
-24.153887,40.105476,8.602059991327963
-43.91637,107.81737,8.576754126063193
-37.207096,7.717221,7.823908740944319
-27.451403,26.321953,7.568636235841013
-23.597033,31.717075,6.82102305270683
-46.5016,68.303474,8.3767507096021
-42.18728,59.92137,5.0
-46.502018,69.239784,8.221848749616356
-58.37895,13.141166,6.958607314841775
-58.37895,13.141166,7.0
-46.054848,59.4317,6.384049948343599
-46.98311,67.987656,8.455931955649724
-30.254686,24.98785,7.102372908709558
