Model,R2_mean,R2_sd,MSE_mean,MSE_sd
Ridge regression,0.11506125364666034,0.19678227436694126,1.0965786556427166,0.19743781368705765
Random forest,0.6970883385358679,0.023440535680789683,0.3783063146402224,0.03861908657029195
Gradient boosting,0.49873352118308006,0.024436215512059392,0.6257956302983725,0.04882800229454101
